Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance Criteria),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Control Cadence),Custom field (Decision Date),Custom field (Decision ID),Custom field (Decision Outcome),Custom field (Decision Questions),Custom field (Decision Rationale),Custom field (Decision Status),Custom field (Definition Status),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependency Notes),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Evidence Required),Custom field (Exclusions),Custom field (External issue ID),Custom field (Focus Areas),Custom field (Gate ID),Custom field (Gate Status),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Options Considered),Custom field (Parent WBS ID),Custom field (Planning Notes),Custom field (Project overview key),Custom field (Project overview status),Custom field (Purpose),Custom field (Rank),Custom field (Request Type),Custom field (Required Evidence),Custom field (Required Inputs),Custom field (Required Outputs),Custom field (Risk Level),Custom field (Scope),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Unlocks WBS IDs),Custom field (Vulnerability),Custom field (WBS ID),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Convert provisional work into executable tasks,SS-306,10324,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Convert approaching provisional scope into sufficiently defined executable work.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Near-term work meets the agreed refinement criteria and unresolved uncertainty is explicitly recorded.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30061,,,,,,,,,,,,,,PM-PLN-RWP-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Convert approaching provisional scope into sufficiently defined executable work.,0|i000gn:,,"Updated task records, readiness assessments and refinement review notes.","Current WBS, schedule horizon, approved decisions and available technical evidence.",A rolling set of ready or defined executable tasks.,Medium,"Task decomposition, inputs, outputs, acceptance criteria, dependencies, estimates and readiness status.",,,,,,,,,,,,PM-PLN-RWP-02-01,,,,10295,SS-277,Refine Near-Term Work,To Do,23/Jun/26 12:28 AM
"Define readiness, statuses, active-work limits and completion rules",SS-307,10325,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Define the operational rules controlling when work may start, progress and close.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Statuses and transitions are unambiguous, work-in-progress limits are stated and completion requires evidence.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30062,,,,,,,,,,,,,,PM-CTL-FLW-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,"Define the operational rules controlling when work may start, progress and close.",0|i000gv:,,"Delivery-flow policy, configured workflow and reviewed example task.","WBS method, Jira workflow, available capacity and assurance requirements.",A documented delivery-flow policy configured in Jira.,Low,"Workflow statuses, readiness rules, active-work limits, review expectations and completion evidence.",,,,,,,,,,,,PM-CTL-FLW-01-01,,,,10296,SS-278,Establish Delivery Rules,To Do,23/Jun/26 12:28 AM
"Admit, monitor, review and close executable tasks",SS-308,10326,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:29 AM,,,,0,Control the active queue so that work starts only when ready and closes only when accepted.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Active work respects the defined limits, blockers are visible and completed work satisfies its acceptance criteria.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Daily,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30063,,,,,,,,,,,,,,PM-CTL-FLW-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Control the active queue so that work starts only when ready and closes only when accepted.,0|i000h3:,,"Jira status history, review records and completion evidence.","Ready task queue, current capacity, dependencies and completion evidence.",A controlled active-work queue with accurate statuses.,Medium,"Task admission, active-work monitoring, blocker escalation, review and evidence-based closure.",,,,,,,,,,,,PM-CTL-FLW-02-01,,,,10297,SS-279,Operate Active-Work Control,To Do,23/Jun/26 12:29 AM
Define change thresholds and configure change register,SS-309,10327,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:29 AM,23/Jun/26 12:29 AM,,,,0,Define which changes require formal control and configure the register used to assess them.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Formal-change thresholds are clear, impacts can be recorded and approval responsibilities are explicit.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30064,,,,,,,,,,,,,,PM-CTL-CHG-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Define which changes require formal control and configure the register used to assess them.,0|i000hb:,,"Change-control procedure, configured register and reviewed example change.","Approved WBS, schedule baseline, architecture controls and decision method.",A documented change-control procedure and configured change register.,Low,"Change thresholds, impact categories, statuses, approval rules and affected-baseline references.",,,,,,,,,,,,PM-CTL-CHG-01-01,,,,10298,SS-280,Establish Change-Control System,To Do,23/Jun/26 12:29 AM
"Assess, approve and incorporate project changes",SS-310,10328,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:29 AM,23/Jun/26 12:29 AM,,,,0,"Assess qualifying changes before they alter controlled scope, schedule or technical baselines.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,No qualifying change alters a baseline without a recorded assessment and outcome.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30065,,,,,,,,,,,,,,PM-CTL-CHG-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,"Assess qualifying changes before they alter controlled scope, schedule or technical baselines.",0|i000hj:,,"Change register, impact assessments, approvals and updated baseline records.","Change request, impact evidence, affected records and applicable decision authority.","Approved, rejected or deferred change records with controlled implementation.",Medium,"Change identification, impact assessment, approval, implementation and baseline updates.",,,,,,,,,,,,PM-CTL-CHG-02-01,,,,10299,SS-281,Operate Change Control,To Do,23/Jun/26 12:29 AM
Define risk scoring and configure risk register,SS-311,10329,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:29 AM,23/Jun/26 12:29 AM,,,,0,Define the risk assessment method and configure the register used to control risks.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Risk ratings are repeatable, treatment fields are available and one example risk has been reviewed.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30066,,,,,,,,,,,,,,PM-RID-RSK-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Define the risk assessment method and configure the register used to control risks.,0|i000hr:,,"Risk method, configured register and reviewed example risk.","Programme objectives, risk tolerance and anticipated technical and delivery uncertainties.",A documented risk method and configured risk register.,Low,"Likelihood, impact, overall rating, ownership, mitigation, contingency, status and review cadence.",,,,,,,,,,,,PM-RID-RSK-01-01,,,,10300,SS-282,Establish Risk-Control System,To Do,23/Jun/26 12:29 AM
"Identify, assess and review mitigation actions",SS-312,10330,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:29 AM,23/Jun/26 12:29 AM,,,,0,Maintain a current risk picture and ensure agreed treatments are progressing.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Material risks are recorded, ratings reflect current evidence and overdue treatments are escalated.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30067,,,,,,,,,,,,,,PM-RID-RSK-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Maintain a current risk picture and ensure agreed treatments are progressing.,0|i000hz:,,"Updated risk register, mitigation evidence and review notes.","Current work status, emerging evidence, decision outcomes and existing risk records.",A current risk register with active treatments and escalations.,Medium,"Risk identification, reassessment, mitigation review, contingency readiness and escalation.",,,,,,,,,,,,PM-RID-RSK-02-01,,,,10301,SS-283,Monitor and Treat Risks,To Do,23/Jun/26 12:29 AM
Define issue severity and configure issue register,SS-313,10331,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:29 AM,23/Jun/26 12:29 AM,,,,0,"Define how active issues are classified, escalated, resolved and verified.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Severity and escalation rules are explicit, closure requires verification and one example issue has been reviewed.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30068,,,,,,,,,,,,,,PM-RID-ISS-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,"Define how active issues are classified, escalated, resolved and verified.",0|i000i7:,,"Issue-control procedure, configured register and reviewed example issue.","Delivery workflow, risk method and anticipated categories of project impediment.",A documented issue-control method and configured issue register.,Low,"Severity, impact, ownership, target resolution, escalation, status and closure verification.",,,,,,,,,,,,PM-RID-ISS-01-01,,,,10302,SS-284,Establish Issue-Control System,To Do,23/Jun/26 12:29 AM
"Triage, resolve and verify project issues",SS-314,10332,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:29 AM,23/Jun/26 12:29 AM,,,,0,Resolve active impediments quickly and verify that corrective action restores delivery.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Critical issues are addressed promptly, ownership is clear and closed issues have objective verification.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Daily,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30069,,,,,,,,,,,,,,PM-RID-ISS-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Resolve active impediments quickly and verify that corrective action restores delivery.,0|i000if:,,"Issue register, corrective-action evidence and closure verification.","Reported issue, impact evidence, affected work and available corrective options.",Resolved or escalated issue records with verified outcomes.,Medium,"Triage, ownership, action tracking, escalation, resolution and closure verification.",,,,,,,,,,,,PM-RID-ISS-02-01,,,,10303,SS-285,Resolve Issues and Impediments,To Do,23/Jun/26 12:29 AM
Define dependency rules and map initial dependencies,SS-315,10333,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:29 AM,23/Jun/26 12:29 AM,,,,0,Define dependency-linking rules and create the initial cross-work dependency network.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Material dependencies are represented using consistent links and no known sequencing conflict is omitted.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30070,,,,,,,,,,,,,,PM-RID-DEP-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Define dependency-linking rules and create the initial cross-work dependency network.,0|i000in:,,"Dependency rules, Jira links and initial dependency review.","Approved WBS, preliminary schedule and known technical sequencing constraints.",A documented dependency method and mapped initial dependency network.,Medium,"Dependency types, linking conventions, blocker semantics and initial mapping between planned work items.",,,,,,,,,,,,PM-RID-DEP-01-01,,,,10304,SS-286,Establish Dependency Network,To Do,23/Jun/26 12:29 AM
Review blockers and update dependent work,SS-316,10334,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:29 AM,23/Jun/26 12:29 AM,,,,0,Keep dependency information current and prevent blocked work from progressing unnoticed.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Blocked items are identifiable, dependency changes are recorded and downstream impacts are reflected in planning.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Daily,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30071,,,,,,,,,,,,,,PM-RID-DEP-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Keep dependency information current and prevent blocked work from progressing unnoticed.,0|i000iv:,,"Updated Jira links, blocker notes and corresponding schedule or task changes.","Current task statuses, issue records, schedule forecast and decision outcomes.",A current dependency network with visible blockers and updated dependent work.,Medium,"Blocker review, dependency updates, sequencing changes and escalation of threatened downstream work.",,,,,,,,,,,,PM-RID-DEP-02-01,,,,10305,SS-287,Monitor Dependencies,To Do,23/Jun/26 12:29 AM
Define indicators and configure dashboards,SS-317,10335,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:29 AM,23/Jun/26 12:29 AM,,,,0,"Define the indicators needed to understand current progress, flow, risk and forecast.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Indicators are decision-useful, reproducible from available data and presented without unnecessary duplication.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30072,,,,,,,,,,,,,,PM-PER-MON-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,"Define the indicators needed to understand current progress, flow, risk and forecast.",0|i000j3:,,"Indicator definitions, configured dashboard and reviewed sample reporting period.","WBS, workflow, schedule, risk method and reporting needs.",A concise measurement framework and configured Jira dashboards or views.,Low,"Indicator definitions, data sources, update frequency, dashboard views and interpretation rules.",,,,,,,,,,,,PM-PER-MON-01-01,,,,10306,SS-288,Establish Measurement System,To Do,23/Jun/26 12:29 AM
Conduct periodic project reviews and update forecasts,SS-318,10336,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:29 AM,23/Jun/26 12:29 AM,,,,0,Review actual progress against the plan and update the forward forecast.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The review identifies material variance, updates the forecast and assigns actions for any required correction.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30073,,,,,,,,,,,,,,PM-PER-MON-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Review actual progress against the plan and update the forward forecast.,0|i000jb:,,"Weekly review record, updated forecast and tracked corrective actions.","Current Jira status, schedule, risk register, issue register and completion evidence.","A current progress assessment, forecast and agreed corrective actions.",Medium,"Progress review, milestone confidence, schedule forecast, risk trend and corrective actions.",,,,,,,,,,,,PM-PER-MON-02-01,,,,10307,SS-289,Review Progress and Forecast,To Do,23/Jun/26 12:29 AM
